country,question,value,round,country_iso,iso_639_3,iso_scope,iso_ref_name
14,Q116OTHER,jukun,r5,NG,jbu,I,Jukun Takum
14,Q116OTHER,koro,r5,NG,uji,I,Tanjijili
14,Q116OTHER,ngas,r5,NG,anc,I,Ngas
14,Q116OTHER,ron,r5,NG,cla,I,Ron
14,Q116OTHER,sayawa,r5,NG,say,I,Saya
14,Q116OTHER,zuru,r5,NG,dri,I,C'Lela
17,Q116OTHER,kijita,r5,TZ,jit,I,Jita
17,Q116OTHER,kiluri,r5,TZ,,,
18,Q116OTHER,rufumbiira,r5,UG,kin,I,Kinyarwanda
19,Q116OTHER,nyika,r5,ZM,nkv,I,Nyika (Malawi and Zambia)
24,Q116OTHER,anyanga,r5,TG,ayg,I,Ginyanga
26,Q116OTHER,bandjoun,r5,CM,bbj,I,Ghomálá'
26,Q116OTHER,banen,r5,CM,tvu,I,Tunen
26,Q116OTHER,bassa,r5,CM,ngn,I,Ngwo
26,Q116OTHER,bayangam,r5,CM,,,
26,Q116OTHER,eton,r5,CM,eto,I,Eton (Cameroon)
26,Q116OTHER,kotoko,r5,CM,,,
26,Q116OTHER,mafa,r5,CM,maf,I,Mafa
26,Q116OTHER,mbo,r5,CM,mbo,I,Mbo (Cameroon)
26,Q116OTHER,ntoumou,r5,CM,fan,I,Fang (Equatorial Guinea)
26,Q116OTHER,nyem nyem,r5,CM,,,
27,Q116OTHER,aboure,r5,CI,abu,I,Abure
