round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
5,Q103OTHER,24,gangan,mis,S,Uncoded languages,TG
5,Q103OTHER,24,gourma,gux,I,Gourmanchéma,TG
5,Q103OTHER,26,guidar,gid,I,Gidar,CM
5,Q103OTHER,24,haoussa,hau,I,Hausa,TG
5,Q103OTHER,26,haoussa,hau,I,Hausa,CM
5,Q103OTHER,30,isizulu,zul,I,Zulu,SZ
5,Q103OTHER,6,kisii,guz,I,Gusii,KE
5,Q103OTHER,24,kpessi,kef,I,Kpessi,TG
5,Q103OTHER,6,kuria,kuj,I,Kuria,KE
5,Q103OTHER,28,landouma,ldm,I,Landoma,GN
5,Q103OTHER,22,limba,lia,I,West-Central Limba,SL
5,Q103OTHER,22,limba,lma,I,East Limba,SL
5,Q103OTHER,18,lugwere,gwr,I,Gwere,UG
5,Q103OTHER,26,mafa,maf,I,Mafa,CM
5,Q103OTHER,28,manian,mis,S,Uncoded languages,GN
5,Q103OTHER,6,masai,mas,I,Masai,KE
5,Q103OTHER,26,mbamois,mis,S,Uncoded languages,CM
5,Q103OTHER,26,mbo,mbo,I,Mbo (Cameroon),CM
5,Q103OTHER,26,mboum,mdd,I,Mbum,CM
5,Q103OTHER,24,mina,gej,I,Gen,TG
5,Q103OTHER,20,nambya,nmq,I,Nambya,ZW
5,Q103OTHER,20,ndau,ndc,I,Ndau,ZW
5,Q103OTHER,20,nyanja,nya,I,Nyanja,ZW
5,Q103OTHER,1,peulh,fuh,I,Western Niger Fulfulde,BJ
5,Q103OTHER,1,peulh,ful,M,Fulah,BJ
5,Q103OTHER,6,pokot,pko,I,Pökoot,KE
5,Q103OTHER,6,pokot,kln,M,Kalenjin,KE
5,Q103OTHER,12,ronga,rng,I,Ronga,MZ
5,Q103OTHER,19,senga,nse,I,Nsenga,ZM
5,Q103OTHER,7,sethepu,xho,I,Xhosa,LS
5,Q103OTHER,16,shangaan,tso,I,Tsonga,ZA
5,Q103OTHER,22,sherbro,bun,I,Sherbro,SL
5,Q103OTHER,20,shona & ndebele,sna,I,Shona,ZW
5,Q103OTHER,16,siswati,ssw,I,Swati,ZA
5,Q103OTHER,6,somali,som,I,Somali,KE
5,Q103OTHER,8,standard english,eng,I,English,LR
5,Q103OTHER,6,swahili,swh,I,Swahili (individual language),KE
5,Q103OTHER,6,swahili,swa,M,Swahili (macrolanguage),KE
5,Q103OTHER,26,tikar,tik,I,Tikar,CM
5,Q103OTHER,16,tsonga,tso,I,Tsonga,ZA
5,Q103OTHER,19,tumbuka,tum,I,Tumbuka,ZM
5,Q103OTHER,6,turkana,tuv,I,Turkana,KE
5,Q103OTHER,12,xitsua,tsc,I,Tswa,MZ
5,Q103OTHER,26,yambassa,yav,I,Yangben,CM
5,Q116OTHER,27,aboure,abu,I,Abure,CI
5,Q116OTHER,27,ahizi,ahp,I,Aproumu Aizi,CI
5,Q116OTHER,24,anyanga,ayg,I,Ginyanga,TG
5,Q116OTHER,14,babur,bwr,I,Bura-Pabir,NG
5,Q116OTHER,14,bachama,bcy,I,Bacama,NG
5,Q116OTHER,14,bajju,kaj,I,Jju,NG
5,Q116OTHER,26,bandjoun,bbj,I,Ghomálá',CM
