round,variable,value,name,country,iso_alpha2,n_resp,prop
2,q110,168,Malinke,5,ML,40,0.03117692907248636
2,q110,177,Tamasheq,5,ML,31,0.024162120031176928
2,q110,180,Sesotho,3,LS,1200,1
2,q110,220,Wolof,16,SN,791,0.6591666666666667
2,q110,221,Serer,16,SN,116,0.09666666666666666
2,q110,222,Mandinka,16,SN,44,0.03666666666666667
2,q110,223,Pulaar,16,SN,165,0.1375
2,q110,224,Diola,16,SN,49,0.04083333333333333
2,q110,240,Setswana,1,BW,1134,0.945
2,q110,242,Sekalanga,1,BW,66,0.055
2,q110,260,Hausa,7,NG,110,0.04901400268457389
2,q110,261,Yoruba,7,NG,579,0.25943307308915853
2,q110,262,Igbo,7,NG,433,0.17856722772657652
2,q110,263,Tiv,7,NG,90,0.04041403675132367
2,q110,264,Ijaw,7,NG,25,0.007048914402107887
2,q110,266,Nupe,7,NG,10,0.0044904485279248525
2,q110,267,Ibibio,7,NG,63,0.017763264293311876
2,q110,268,Efik,7,NG,11,0.0031015223369274705
2,q110,269,Edo,7,NG,107,0.042142193041930814
2,q110,270,Igala/Idoma,7,NG,154,0.06882632962970452
2,q110,271,Urhobo,7,NG,80,0.026131257217391686
2,q110,272,Ebira,7,NG,42,0.018658071459111875
2,q110,273,Fulani,7,NG,30,0.013581065608707525
2,q110,275,Kalabari,7,NG,73,0.02058283005415503
2,q110,276,Ikewere,7,NG,35,0.009868480162951042
2,q110,280,Shona,12,ZW,513,0.46467391304347827
2,q110,281,Ndebele,12,ZW,591,0.5353260869565217
2,q110,300,Bemba,11,ZM,263,0.21219755192120912
2,q110,302,kaonda,11,ZM,48,0.04109134013524518
2,q110,303,Lozi,11,ZM,198,0.1695100325404239
2,q110,305,Luvale,11,ZM,152,0.12669976754371337
2,q110,306,Nyanja,11,ZM,157,0.1313091192999305
2,q110,307,Tonga,11,ZM,184,0.15283568465363528
2,q110,308,Tumbuka,11,ZM,46,0.03936150368126798
2,q110,310,Nyika,11,ZM,73,0.06333798302175722
2,q110,311,Lamba,11,ZM,77,0.06365701720281741
2,q110,321,Ovambo languages,6,NA,1079,0.8999165971643036
2,q110,324,Herero languages,6,NA,33,0.027522935779816515
2,q110,380,Kalenjin,14,KE,126,0.0524686009361195
2,q110,381,Kamba,14,KE,245,0.10348177994844779
2,q110,382,Kikuyu,14,KE,216,0.09493160552125031
2,q110,383,Kisii,14,KE,150,0.06441553179674393
2,q110,384,Luhya,14,KE,244,0.10175990797758373
2,q110,385,Luo,14,KE,655,0.28303124375218636
2,q110,386,Maasai/Samburu,14,KE,67,0.02795196827151439
2,q110,387,Mijikenda,14,KE,2,8.418109820532735e-4
2,q110,388,Somali,14,KE,238,0.08009790331729626
2,q110,389,Taita,14,KE,40,0.01628356121009581
2,q110,390,Turkana,14,KE,32,0.013363202360832417
2,q110,391,Meru,14,KE,204,0.08621132106400005
2,q110,392,Embu,14,KE,2,8.391151482436762e-4
2,q110,393,Borana,14,KE,4,0.001765873645304344
2,q110,397,Bajuni,14,KE,38,0.015466731899122635
2,q110,398,Taveta,14,KE,42,0.017075408849988895
2,q110,399,Gujarati,14,KE,7,0.002928663434063873
2,q110,800,Berom,7,NG,24,0.010777076467019645
2,q110,801,Chip,7,NG,12,0.005388538233509823
2,q110,802,Jarawa,7,NG,12,0.005388538233509823
2,q110,803,Mada,7,NG,22,0.009959448113052187
2,q110,804,Ron,7,NG,12,0.005388538233509823
2,q110,805,Gbagyi,7,NG,10,0.0044904485279248525
2,q110,806,Taba,7,NG,10,0.0044904485279248525
2,q110,808,Okun,7,NG,4,0.001796179411169941
2,q110,809,Mgas,7,NG,4,0.001796179411169941
2,q110,995,Other,2,GH,116,0.09666666666666666
2,q110,995,Other,7,NG,476,0.19090188785535198
2,q83,-1,Missing,14,KE,4,0.0011417539517098647
2,q83,-1,Missing,4,MW,1,8.333333333333334e-4
2,q83,-1,Missing,15,MZ,2,0.001884369739445967
2,q83,-1,Missing,6,NA,2,0.0016680567139282735
2,q83,-1,Missing,16,SN,6,0.005
2,q83,-1,Missing,10,UG,1,4.15586167185099e-4
