from,to,distance
abo,cop,4
abo,dab,4
abo,dim,4
abo,diz,4
abo,dnw,4
abo,gam,4
abo,gdf,4
abo,gdr,4
abo,gim,4
abo,giz,4
abo,gnd,4
abo,goe,4
abo,gud,4
abo,hau,4
abo,hba,4
abo,hdi,4
abo,heb,4
abo,hmr,4
abo,hna,4
abo,hrr,4
abo,hrs,4
abo,jib,4
abo,kbl,4
abo,kef,4
abo,ker,4
abo,kjr,4
abo,klb,4
abo,knk,4
abo,ktk,4
abo,kul,4
abo,kwm,4
abo,lag,4
abo,lam,4
abo,lel,4
abo,lmg,4
abo,mas,4
abo,mbr,4
abo,mda,4
abo,meh,4
abo,mgu,4
abo,mig,4
abo,miy,4
abo,mko,4
abo,mle,4
abo,mlg,4
abo,mlt,4
abo,mma,4
abo,moc,4
abo,mof,4
abo,mrg,4
abo,muh,4
abo,mup,4
abo,naa,4
abo,naj,4
abo,nap,4
abo,ngz,4
abo,nsy,4
abo,paa,4
abo,per,4
abo,pod,4
abo,ron,4
abo,sod,4
abo,soq,4
abo,ssh,4
abo,tai,4
abo,tan,4
abo,tas,4
abo,tbe,4
abo,ter,4
abo,tgh,4
abo,tgr,4
abo,tig,4
abo,tmk,4
abo,tsk,4
abo,tug,4
abo,uld,4
abo,wly,4
abo,yms,4
abo,zay,4
abo,zen,4
abu,adk,1
abu,aik,1
abu,ain,1
abu,atm,1
abu,bgm,1
abu,bqb,1
abu,bqg,1
abu,bqh,1
abu,bqi,1
abu,bql,1
abu,bqn,1
abu,bqo,1
abu,bqr,1
abu,bqs,1
abu,bqz,1
abu,bso,1
abu,bsq,1
abu,bur,1
abu,cam,1
abu,can,1
abu,chi,1
abu,cof,1
abu,cqt,1
abu,ctm,1
abu,cyv,1
abu,els,1
abu,ess,1
abu,ful,1
abu,gku,1
abu,gto,1
abu,had,1
abu,hat,1
abu,irx,1
abu,ito,1
abu,klm,1
abu,kri,1
abu,krk,1
abu,kuo,1
abu,kus,1
abu,kut,1
abu,laa,1
abu,lec,1
abu,mll,1
abu,mov,1
abu,mpu,1
abu,nag,1
abu,nah,1
abu,nat,1
abu,niv,1
abu,nvs,1
abu,rik,1
abu,sal,1
abu,sdw,1
abu,ser,1
abu,shs,1
abu,siu,1
abu,sul,1
abu,tap,1
abu,tic,1
abu,ton,1
abu,tru,1
abu,tsr,1
abu,tun,1
abu,urn,1
abu,wao,1
abu,was,1
abu,wra,1
abu,yah,1
abu,yrc,1
abu,yuc,1
abu,zun,1
abv,adg,1
abv,kiu,1
abv,woi,1
abv,kln,3
abv,mkj,3
abv,tgp,3
abv,bdw,4
abv,dni,4
abv,eka,4
abv,iha,4
abv,mni,4
abv,yli,4
abv,aga,5
abv,ahu,5
abv,ame,5
abv,amx,5
abv,ant,5
abv,ape,5
abv,ard,5
abv,asm,5
abv,auy,5
abv,awa,5
abv,awi,5
abv,baa,5
abv,bau,5
abv,beb,5
abv,bin,5
abv,bmr,5
abv,bnm,5
abv,boa,5
abv,bon,5
abv,bry,5
abv,cve,5
abv,dad,5
abv,dag,5
abv,dun,5
abv,edo,5
abv,eip,5
abv,ena,5
abv,fas,5
abv,foe,5
abv,for,5
abv,gah,5
abv,gds,5
abv,gln,5
abv,gog,5
abv,grs,5
abv,guh,5
abv,ham,5
abv,hua,5
abv,ina,5
abv,kae,5
abv,kak,5
abv,kat,5
abv,kew,5
abv,kgl,5
abv,kim,5
abv,kiw,5
abv,kll,5
abv,klq,5
abv,kmb,5
abv,kmn,5
abv,kmo,5
abv,kmp,5
abv,kmr,5
abv,kob,5
abv,koi,5
abv,krf,5
abv,krw,5
abv,kta,5
abv,kti,5
abv,ktn,5
abv,kyk,5
abv,mav,5
abv,mey,5
abv,mgi,5
abv,mom,5
abv,mpt,5
abv,mrd,5
abv,mri,5
abv,mug,5
abv,nab,5
abv,nmd,5
abv,nnd,5
abv,nnk,5
abv,oks,5
abv,omi,5
abv,ono,5
abv,orl,5
abv,oro,5
abv,paw,5
abv,pdp,5
abv,pis,5
abv,ria,5
abv,rum,5
abv,rwa,5
abv,sia,5
abv,slp,5
abv,sro,5
abv,sue,5
abv,suk,5
abv,syu,5
abv,tau,5
abv,tba,5
abv,tif,5
abv,tlf,5
abv,tmg,5
abv,toa,5
abv,trr,5
abv,una,5
abv,usa,5
abv,usr,5
abv,wah,5
abv,wbn,5
abv,wer,5
abv,wnt,5
abv,wsk,5
abv,yal,5
abv,yar,5
abv,ygr,5
abv,yqy,5
abv,zim,5
abw,mhc,2
abw,mic,2
abw,mse,2
abw,mtt,2
abw,nnt,2
abw,pow,2
abw,psm,2
abw,unm,2
abw,aho,3
abw,alg,3
abw,ati,3
abw,bla,3
abw,cea,3
abw,cpw,3
abw,cre,3
abw,cyn,3
abw,fox,3
abw,ill,3
abw,kic,3
abw,men,3
abw,mtg,3
abw,nsk,3
abw,oji,3
abw,ojm,3
abw,ojs,3
abw,pot,3
abw,shw,3
abw,wiy,4
abw,yur,4
abz,abk,1
abz,adt,2
abz,ady,2
abz,ash,2
abz,kab,2
abz,uby,2
abz,agl,3
abz,anx,3
abz,arc,3
abz,ava,3
abz,axv,3
abz,bdk,3
abz,bez,3
abz,bgv,3
abz,chc,3
abz,chm,3
abz,drg,3
abz,god,3
abz,hnk,3
abz,hzb,3
abz,ing,3
abz,khi,3
abz,khv,3
abz,krt,3
abz,krz,3
abz,lak,3
abz,lez,3
abz,rut,3
abz,tbs,3
abz,tnd,3
abz,tsa,3
abz,tsz,3
abz,ttu,3
abz,udi,3
ace,chw,2
ace,cme,2
ace,crh,2
ace,rad,2
ace,rgn,2
ace,tst,2
ace,iba,3
ace,ind,3
ace,inj,3
ace,ktp,3
ace,kuy,3
ace,min,3
ace,mly,3
ace,mmu,3
ace,myk,3
ace,url,3
ace,adz,4
ace,agc,4
ace,agd,4
ace,aji,4
ace,akl,4
ace,alk,4
ace,all,4
ace,aln,4
ace,alx,4
ace,ama,4
ace,aml,4
ace,amq,4
ace,anj,4
ace,ari,4
ace,ark,4
ace,aro,4
ace,arx,4
ace,atb,4
ace,atc,4
ace,aul,4
ace,ayw,4
ace,baj,4
ace,bal,4
ace,bat,4
ace,bbm,4
ace,beg,4
ace,bgg,4
ace,bgz,4
ace,bik,4
ace,bim,4
ace,biq,4
ace,bit,4
ace,bjs,4
ace,bkd,4
ace,bkl,4
ace,bkr,4
ace,blg,4
ace,blk,4
ace,bnn,4
ace,bnt,4
ace,btk,4
ace,bto,4
ace,bug,4
ace,bui,4
ace,bum,4
ace,buu,4
ace,bvi,4
ace,bwc,4
ace,ceb,4
ace,cem,4
ace,cha,4
ace,ckh,4
ace,crl,4
ace,cuu,4
ace,daa,4
ace,dca,4
ace,dob,4
ace,dre,4
ace,eml,4
ace,erk,4
ace,err,4
ace,fij,4
ace,fiw,4
ace,frd,4
ace,fue,4
ace,fut,4
ace,gap,4
ace,gay,4
ace,gel,4
ace,gmw,4
ace,grt,4
ace,hal,4
ace,haw,4
