round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
5,landouma,Q103OTHER,GN,28,land1256,Landoma,language
5,limba,Q103OTHER,SL,22,limb1267,Limba,family
5,lugwere,Q103OTHER,UG,18,gwer1238,Gwere,language
5,mafa,Q103OTHER,CM,26,mafa1239,Mafa,language
5,manian,Q103OTHER,GN,28,,,
5,masai,Q103OTHER,KE,6,masa1300,Masai,language
5,mbamois,Q103OTHER,CM,26,,,
5,mbo,Q103OTHER,CM,26,mboc1235,Mbo (Cameroon),language
5,mboum,Q103OTHER,CM,26,mbum1254,Mbum,language
5,mina,Q103OTHER,TG,24,genn1243,Gen,language
5,nambya,Q103OTHER,ZW,20,namb1291,Nambya,language
5,ndau,Q103OTHER,ZW,20,ndau1241,Ndau,language
5,nyanja,Q103OTHER,ZW,20,nyan1308,Nyanja,language
5,peulh,Q103OTHER,BJ,1,west2454,Western Niger Fulfulde,language
5,pokot,Q103OTHER,KE,6,poko1263,Pökoot,language
5,ronga,Q103OTHER,MZ,12,rong1268,Ronga,language
5,senga,Q103OTHER,ZM,19,tumb1250,Tumbuka,language
5,sethepu,Q103OTHER,LS,7,,,
5,shangaan,Q103OTHER,ZA,16,tson1249,Tsonga,language
5,sherbro,Q103OTHER,SL,22,sher1258,Sherbro,language
5,shona & ndebele,Q103OTHER,ZW,20,nort2795,Zimbabwean Ndebele,language
5,siswati,Q103OTHER,ZA,16,swat1243,Swati,language
5,somali,Q103OTHER,KE,6,soma1255,Somali,language
5,standard english,Q103OTHER,LR,8,stan1293,English,language
5,swahili,Q103OTHER,KE,6,swah1253,Swahili,language
5,tikar,Q103OTHER,CM,26,tika1246,Tikar,language
5,tsonga,Q103OTHER,ZA,16,tson1249,Tsonga,language
5,tumbuka,Q103OTHER,ZM,19,tumb1250,Tumbuka,language
5,turkana,Q103OTHER,KE,6,turk1308,Turkana,language
5,xitsua,Q103OTHER,MZ,12,tswa1255,Tswa,language
5,yambassa,Q103OTHER,CM,26,yang1293,Yangben,language
5,aboure,Q116OTHER,CI,27,abur1243,Abure,language
5,ahizi,Q116OTHER,CI,27,apro1235,Aproumu Aizi,language
5,anyanga,Q116OTHER,TG,24,giny1241,Ginyanga,language
5,babur,Q116OTHER,NG,14,bura1292,Bura-Pabir,language
5,bachama,Q116OTHER,NG,14,baca1246,Bacama,language
5,bajju,Q116OTHER,NG,14,jjuu1238,Jju,language
5,bandjoun,Q116OTHER,CM,26,ghom1247,Ghomálá',language
5,banen,Q116OTHER,CM,26,tune1261,Tunen,language
5,bassa,Q116OTHER,NG,14,basa1282,Basa (Nigeria),language
5,bassa,Q116OTHER,CM,26,basa1284,Basa (Cameroon),language
5,bayangam,Q116OTHER,CM,26,,,
5,boo,Q116OTHER,BJ,1,,,
5,burah,Q116OTHER,NG,14,bura1292,Bura-Pabir,language
5,chitewe,Q116OTHER,MZ,12,tewe1238,Tewe,language
5,dagaare,Q116OTHER,GH,5,sout2789,Central Dagaare,language
5,dahomey,Q116OTHER,CI,27,,,
5,eton,Q116OTHER,CM,26,eton1253,Eton-Mengisa,language
5,frafra,Q116OTHER,GH,5,fare1241,Farefare,language
5,fulse,Q116OTHER,BF,3,koro1298,Koromfé,language
